Opponent: actual Expert+ (ai_choose difficulty=1), unchanged search.
REINFORCE, alternating sides, terminal rewards, cap=1600 plies.
Resume=0 target=100000; session statistics start here.
game 9/100000 | learner blue | ply 60 | elapsed 242s
game 9/100000 | learner blue | ply 80 | elapsed 245s
game 9/100000 | learner blue | ply 100 | elapsed 247s
game 9/100000 | learner blue | ply 120 | elapsed 248s
game 9/100000 | learner blue | ply 140 | elapsed 250s
game 9/100000 | learner blue | ply 160 | elapsed 252s
game 9/100000 | learner blue | ply 180 | elapsed 253s
game 9/100000 | learner blue | ply 200 | elapsed 254s
game 9/100000 | learner blue | ply 220 | elapsed 255s
SAVED 9/100000 | session W=0 L=9 capped=0 | last plies=238 | elapsed 256s
game 10/100000 | learner red | ply 20 | elapsed 258s
game 10/100000 | learner red | ply 40 | elapsed 260s
game 10/100000 | learner red | ply 60 | elapsed 262s
game 10/100000 | learner red | ply 80 | elapsed 264s
game 10/100000 | learner red | ply 100 | elapsed 266s
game 10/100000 | learner red | ply 120 | elapsed 268s
game 10/100000 | learner red | ply 140 | elapsed 270s
game 10/100000 | learner red | ply 160 | elapsed 272s
game 10/100000 | learner red | ply 180 | elapsed 274s
game 10/100000 | learner red | ply 200 | elapsed 276s
game 10/100000 | learner red | ply 220 | elapsed 277s
game 10/100000 | learner red | ply 240 | elapsed 279s
game 10/100000 | learner red | ply 260 | elapsed 280s
game 10/100000 | learner red | ply 280 | elapsed 282s
game 10/100000 | learner red | ply 300 | elapsed 283s
game 10/100000 | learner red | ply 320 | elapsed 284s
game 10/100000 | learner red | ply 340 | elapsed 285s
game 10/100000 | learner red | ply 360 | elapsed 285s
game 10/100000 | learner red | ply 380 | elapsed 286s
game 10/100000 | learner red | ply 400 | elapsed 287s
game 10/100000 | learner red | ply 420 | elapsed 287s
game 10/100000 | learner red | ply 440 | elapsed 287s
SAVED 10/100000 | session W=0 L=10 capped=0 | last plies=443 | elapsed 287s
game 11/100000 | learner blue | ply 20 | elapsed 289s
game 11/100000 | learner blue | ply 40 | elapsed 292s
game 11/100000 | learner blue | ply 60 | elapsed 294s
game 11/100000 | learner blue | ply 80 | elapsed 296s
game 11/100000 | learner blue | ply 100 | elapsed 298s
game 11/100000 | learner blue | ply 120 | elapsed 300s
game 11/100000 | learner blue | ply 140 | elapsed 302s
game 11/100000 | learner blue | ply 160 | elapsed 304s
game 11/100000 | learner blue | ply 180 | elapsed 306s
game 11/100000 | learner blue | ply 200 | elapsed 308s
game 11/100000 | learner blue | ply 220 | elapsed 309s
game 11/100000 | learner blue | ply 240 | elapsed 310s
game 11/100000 | learner blue | ply 260 | elapsed 312s
game 11/100000 | learner blue | ply 280 | elapsed 313s
game 11/100000 | learner blue | ply 300 | elapsed 314s
game 11/100000 | learner blue | ply 320 | elapsed 315s
game 11/100000 | learner blue | ply 340 | elapsed 315s
game 11/100000 | learner blue | ply 360 | elapsed 316s
game 11/100000 | learner blue | ply 380 | elapsed 316s
game 11/100000 | learner blue | ply 400 | elapsed 317s
SAVED 11/100000 | session W=0 L=11 capped=0 | last plies=406 | elapsed 317s
game 12/100000 | learner red | ply 20 | elapsed 319s
game 12/100000 | learner red | ply 40 | elapsed 321s
game 12/100000 | learner red | ply 60 | elapsed 323s
game 12/100000 | learner red | ply 80 | elapsed 325s
game 12/100000 | learner red | ply 100 | elapsed 326s
game 12/100000 | learner red | ply 120 | elapsed 328s
game 12/100000 | learner red | ply 140 | elapsed 330s
game 12/100000 | learner red | ply 160 | elapsed 331s
game 12/100000 | learner red | ply 180 | elapsed 333s
game 12/100000 | learner red | ply 200 | elapsed 335s
game 12/100000 | learner red | ply 220 | elapsed 337s
game 12/100000 | learner red | ply 240 | elapsed 339s
game 12/100000 | learner red | ply 260 | elapsed 341s
game 12/100000 | learner red | ply 280 | elapsed 342s
game 12/100000 | learner red | ply 300 | elapsed 344s
game 12/100000 | learner red | ply 320 | elapsed 345s
game 12/100000 | learner red | ply 340 | elapsed 347s
game 12/100000 | learner red | ply 360 | elapsed 348s
game 12/100000 | learner red | ply 380 | elapsed 349s
game 12/100000 | learner red | ply 400 | elapsed 350s
game 12/100000 | learner red | ply 420 | elapsed 351s
game 12/100000 | learner red | ply 440 | elapsed 352s
game 12/100000 | learner red | ply 460 | elapsed 352s
game 12/100000 | learner red | ply 480 | elapsed 353s
SAVED 12/100000 | session W=0 L=12 capped=0 | last plies=485 | elapsed 353s
game 13/100000 | learner blue | ply 20 | elapsed 356s
game 13/100000 | learner blue | ply 40 | elapsed 357s
game 13/100000 | learner blue | ply 60 | elapsed 359s
game 13/100000 | learner blue | ply 80 | elapsed 360s
game 13/100000 | learner blue | ply 100 | elapsed 362s
game 13/100000 | learner blue | ply 120 | elapsed 363s
game 13/100000 | learner blue | ply 140 | elapsed 364s
game 13/100000 | learner blue | ply 160 | elapsed 365s
game 13/100000 | learner blue | ply 180 | elapsed 366s
game 13/100000 | learner blue | ply 200 | elapsed 368s
game 13/100000 | learner blue | ply 220 | elapsed 369s
game 13/100000 | learner blue | ply 240 | elapsed 370s
game 13/100000 | learner blue | ply 260 | elapsed 371s
game 13/100000 | learner blue | ply 280 | elapsed 373s
game 13/100000 | learner blue | ply 300 | elapsed 374s
game 13/100000 | learner blue | ply 320 | elapsed 375s
SAVED 13/100000 | session W=0 L=13 capped=0 | last plies=336 | elapsed 376s
game 14/100000 | learner red | ply 20 | elapsed 378s
game 14/100000 | learner red | ply 40 | elapsed 380s
game 14/100000 | learner red | ply 60 | elapsed 382s
game 14/100000 | learner red | ply 80 | elapsed 384s
game 14/100000 | learner red | ply 100 | elapsed 385s
game 14/100000 | learner red | ply 120 | elapsed 386s
game 14/100000 | learner red | ply 140 | elapsed 387s
game 14/100000 | learner red | ply 160 | elapsed 388s
game 14/100000 | learner red | ply 180 | elapsed 389s
game 14/100000 | learner red | ply 200 | elapsed 390s
game 14/100000 | learner red | ply 220 | elapsed 391s
game 14/100000 | learner red | ply 240 | elapsed 392s
game 14/100000 | learner red | ply 260 | elapsed 393s
game 14/100000 | learner red | ply 280 | elapsed 394s
game 14/100000 | learner red | ply 300 | elapsed 395s
game 14/100000 | learner red | ply 320 | elapsed 396s
game 14/100000 | learner red | ply 340 | elapsed 397s
game 14/100000 | learner red | ply 360 | elapsed 398s
game 14/100000 | learner red | ply 380 | elapsed 399s
game 14/100000 | learner red | ply 400 | elapsed 400s
SAVED 14/100000 | session W=0 L=14 capped=0 | last plies=403 | elapsed 400s
game 15/100000 | learner blue | ply 20 | elapsed 402s
game 15/100000 | learner blue | ply 40 | elapsed 405s
game 15/100000 | learner blue | ply 60 | elapsed 407s
game 15/100000 | learner blue | ply 80 | elapsed 409s
game 15/100000 | learner blue | ply 100 | elapsed 411s
game 15/100000 | learner blue | ply 120 | elapsed 413s
game 15/100000 | learner blue | ply 140 | elapsed 415s
game 15/100000 | learner blue | ply 160 | elapsed 417s
game 15/100000 | learner blue | ply 180 | elapsed 419s
game 15/100000 | learner blue | ply 200 | elapsed 421s
game 15/100000 | learner blue | ply 220 | elapsed 423s
game 15/100000 | learner blue | ply 240 | elapsed 424s
game 15/100000 | learner blue | ply 260 | elapsed 426s
game 15/100000 | learner blue | ply 280 | elapsed 426s
game 15/100000 | learner blue | ply 300 | elapsed 427s
game 15/100000 | learner blue | ply 320 | elapsed 428s
game 15/100000 | learner blue | ply 340 | elapsed 428s
game 15/100000 | learner blue | ply 360 | elapsed 428s
SAVED 15/100000 | session W=0 L=15 capped=0 | last plies=366 | elapsed 428s
game 16/100000 | learner red | ply 20 | elapsed 431s
game 16/100000 | learner red | ply 40 | elapsed 432s
game 16/100000 | learner red | ply 60 | elapsed 434s
game 16/100000 | learner red | ply 80 | elapsed 436s
game 16/100000 | learner red | ply 100 | elapsed 438s
game 16/100000 | learner red | ply 120 | elapsed 439s
game 16/100000 | learner red | ply 140 | elapsed 441s
game 16/100000 | learner red | ply 160 | elapsed 443s
game 16/100000 | learner red | ply 180 | elapsed 444s
game 16/100000 | learner red | ply 200 | elapsed 445s
game 16/100000 | learner red | ply 220 | elapsed 447s
game 16/100000 | learner red | ply 240 | elapsed 448s
game 16/100000 | learner red | ply 260 | elapsed 450s
game 16/100000 | learner red | ply 280 | elapsed 451s
game 16/100000 | learner red | ply 300 | elapsed 452s
game 16/100000 | learner red | ply 320 | elapsed 453s
game 16/100000 | learner red | ply 340 | elapsed 454s
game 16/100000 | learner red | ply 360 | elapsed 454s
game 16/100000 | learner red | ply 380 | elapsed 454s
SAVED 16/100000 | session W=0 L=16 capped=0 | last plies=387 | elapsed 454s
game 17/100000 | learner blue | ply 20 | elapsed 457s
game 17/100000 | learner blue | ply 40 | elapsed 459s
game 17/100000 | learner blue | ply 60 | elapsed 461s
game 17/100000 | learner blue | ply 80 | elapsed 463s
game 17/100000 | learner blue | ply 100 | elapsed 464s
game 17/100000 | learner blue | ply 120 | elapsed 466s
game 17/100000 | learner blue | ply 140 | elapsed 467s
game 17/100000 | learner blue | ply 160 | elapsed 469s
game 17/100000 | learner blue | ply 180 | elapsed 471s
game 17/100000 | learner blue | ply 200 | elapsed 472s
game 17/100000 | learner blue | ply 220 | elapsed 473s
game 17/100000 | learner blue | ply 240 | elapsed 475s
game 17/100000 | learner blue | ply 260 | elapsed 476s
game 17/100000 | learner blue | ply 280 | elapsed 477s
game 17/100000 | learner blue | ply 300 | elapsed 478s
game 17/100000 | learner blue | ply 320 | elapsed 479s
game 17/100000 | learner blue | ply 340 | elapsed 480s
game 17/100000 | learner blue | ply 360 | elapsed 481s
game 17/100000 | learner blue | ply 380 | elapsed 481s
game 17/100000 | learner blue | ply 400 | elapsed 482s
game 17/100000 | learner blue | ply 420 | elapsed 482s
game 17/100000 | learner blue | ply 440 | elapsed 482s
SAVED 17/100000 | session W=0 L=17 capped=0 | last plies=446 | elapsed 483s
game 18/100000 | learner red | ply 20 | elapsed 485s
game 18/100000 | learner red | ply 40 | elapsed 488s
game 18/100000 | learner red | ply 60 | elapsed 489s
game 18/100000 | learner red | ply 80 | elapsed 491s
game 18/100000 | learner red | ply 100 | elapsed 493s
game 18/100000 | learner red | ply 120 | elapsed 495s
game 18/100000 | learner red | ply 140 | elapsed 496s
game 18/100000 | learner red | ply 160 | elapsed 498s
game 18/100000 | learner red | ply 180 | elapsed 499s
game 18/100000 | learner red | ply 200 | elapsed 501s
game 18/100000 | learner red | ply 220 | elapsed 503s
game 18/100000 | learner red | ply 240 | elapsed 504s
game 18/100000 | learner red | ply 260 | elapsed 506s
game 18/100000 | learner red | ply 280 | elapsed 507s
game 18/100000 | learner red | ply 300 | elapsed 508s
game 18/100000 | learner red | ply 320 | elapsed 510s
game 18/100000 | learner red | ply 340 | elapsed 511s
SAVED 18/100000 | session W=0 L=18 capped=0 | last plies=341 | elapsed 511s
game 19/100000 | learner blue | ply 20 | elapsed 513s
game 19/100000 | learner blue | ply 40 | elapsed 515s
game 19/100000 | learner blue | ply 60 | elapsed 517s
game 19/100000 | learner blue | ply 80 | elapsed 518s
game 19/100000 | learner blue | ply 100 | elapsed 520s
game 19/100000 | learner blue | ply 120 | elapsed 522s
game 19/100000 | learner blue | ply 140 | elapsed 523s
game 19/100000 | learner blue | ply 160 | elapsed 525s
game 19/100000 | learner blue | ply 180 | elapsed 526s
game 19/100000 | learner blue | ply 200 | elapsed 528s
game 19/100000 | learner blue | ply 220 | elapsed 530s
game 19/100000 | learner blue | ply 240 | elapsed 531s
game 19/100000 | learner blue | ply 260 | elapsed 532s
game 19/100000 | learner blue | ply 280 | elapsed 533s
game 19/100000 | learner blue | ply 300 | elapsed 534s
game 19/100000 | learner blue | ply 320 | elapsed 535s
SAVED 19/100000 | session W=0 L=19 capped=0 | last plies=336 | elapsed 535s
game 20/100000 | learner red | ply 20 | elapsed 538s
game 20/100000 | learner red | ply 40 | elapsed 540s
game 20/100000 | learner red | ply 60 | elapsed 541s
game 20/100000 | learner red | ply 80 | elapsed 543s
game 20/100000 | learner red | ply 100 | elapsed 544s
game 20/100000 | learner red | ply 120 | elapsed 546s
game 20/100000 | learner red | ply 140 | elapsed 548s
game 20/100000 | learner red | ply 160 | elapsed 550s
game 20/100000 | learner red | ply 180 | elapsed 552s
game 20/100000 | learner red | ply 200 | elapsed 554s
game 20/100000 | learner red | ply 220 | elapsed 557s
game 20/100000 | learner red | ply 240 | elapsed 559s
game 20/100000 | learner red | ply 260 | elapsed 560s
game 20/100000 | learner red | ply 280 | elapsed 562s
game 20/100000 | learner red | ply 300 | elapsed 563s
game 20/100000 | learner red | ply 320 | elapsed 564s
game 20/100000 | learner red | ply 340 | elapsed 564s
game 20/100000 | learner red | ply 360 | elapsed 565s
game 20/100000 | learner red | ply 380 | elapsed 566s
game 20/100000 | learner red | ply 400 | elapsed 566s
game 20/100000 | learner red | ply 420 | elapsed 567s
game 20/100000 | learner red | ply 440 | elapsed 567s
game 20/100000 | learner red | ply 460 | elapsed 567s
SAVED 20/100000 | session W=0 L=20 capped=0 | last plies=477 | elapsed 568s
game 21/100000 | learner blue | ply 20 | elapsed 570s
game 21/100000 | learner blue | ply 40 | elapsed 573s
game 21/100000 | learner blue | ply 60 | elapsed 575s
game 21/100000 | learner blue | ply 80 | elapsed 577s
game 21/100000 | learner blue | ply 100 | elapsed 579s
game 21/100000 | learner blue | ply 120 | elapsed 580s
game 21/100000 | learner blue | ply 140 | elapsed 582s
game 21/100000 | learner blue | ply 160 | elapsed 583s
game 21/100000 | learner blue | ply 180 | elapsed 585s
game 21/100000 | learner blue | ply 200 | elapsed 586s
game 21/100000 | learner blue | ply 220 | elapsed 587s
game 21/100000 | learner blue | ply 240 | elapsed 588s
SAVED 21/100000 | session W=0 L=21 capped=0 | last plies=246 | elapsed 588s
game 22/100000 | learner red | ply 20 | elapsed 591s
game 22/100000 | learner red | ply 40 | elapsed 593s
game 22/100000 | learner red | ply 60 | elapsed 595s
game 22/100000 | learner red | ply 80 | elapsed 596s
game 22/100000 | learner red | ply 100 | elapsed 598s
game 22/100000 | learner red | ply 120 | elapsed 600s
game 22/100000 | learner red | ply 140 | elapsed 602s
game 22/100000 | learner red | ply 160 | elapsed 603s
game 22/100000 | learner red | ply 180 | elapsed 605s
